United States|Washington
China|Beijing
Japan|Tokyo
Germany|Berlin
United Kingdom|London
India|New Delhi
France|Paris
Italy|Rome
Brazil|Brasília
Canada|Ottawa
South Korea|Seoul
Russia|Moscow
Australia|Canberra
Spain|Madrid
Mexico|Mexico City
Indonesia|Jakarta
Turkey|Ankara
Saudi Arabia|Riyadh
Switzerland|Bern
Netherlands|Amsterdam
Argentina|Buenos Aires
Poland|Warsaw
Sweden|Stockholm
Belgium|Brussels
Norway|Oslo
Austria|Vienna
United Arab Emirates|Abu Dhabi
Iran|Tehran
Thailand|Bangkok
Nigeria|Abuja
South Africa|Pretoria
Denmark|Copenhagen
Malaysia|Kuala Lumpur
Egypt|Cairo
Serbia|Belgrade
Serbia|Novi Sad
Serbia|Subotica
Philippines|Manila
Colombia|Bogota
Singapore|Singapore
Finland|Helsinki
Chile|Santiago
Pakistan|Islamabad
Vietnam|Hanoi
Peru|Lima
New Zealand|Wellington
Greece|Athens
Portugal|Lisbon
Czech Republic|Prague
Romania|Bucharest
Israel|Jerusalem
Ireland|Dublin
Hungary|Budapest
